Наименование;Код класса ЕКПС
Соединение штуцерно-торцевое накидное внахлестку Ду 3, Ру 16 МПа ИТШЛ.302615.092;4730
Соединение штуцерно-торцевое накидное внахлестку Ду 3, Ру 16 МПа ИТШЛ.302615.390;4730
Соединение штуцерно-торцевое накидное внахлестку Ду 3, Ру 16 МПа ИТШЛ.302615.390-01;4730
Соединение штуцерно-торцевое накидное внахлестку Ду 3, Ру 20 МПа ИТШЛ.302615.390-01;4730
Соединение штуцерно-торцевое накидное внахлестку Ду 32, Ру 16 МПа ИТШЛ.302615.099-03;4730
Соединение штуцерно-торцевое накидное внахлестку Ду 6, Ру 16 МПа ИТШЛ.302615.092-01;4730
Соединение штуцерно-торцевое накидное встык Ду 10, Ру 16 МПа ИТШЛ.302615.098-01;4730
Соединение штуцерно-торцевое накидное встык Ду 10, Ру 16 МПа ИТШЛ.302615.098-07;4730
Соединение штуцерно-торцевое накидное встык Ду 10, Ру 20 МПа ИТШЛ.302615.097;4730
Соединение штуцерно-торцевое накидное встык Ду 15, Ру 16 МПа ИТШЛ.302615.098-02;4730
